TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
POR,POR @ SAS,4/3/2022,L,240,92,33,84,39.3,16,45,35.6,10,15,66.7,7,32,39,22,7,4,14,22,-21
SAS,SAS vs. POR,4/3/2022,W,240,113,38,84,45.2,14,42,33.3,23,30,76.7,10,41,51,25,9,1,13,18,21
OKC,OKC vs. PHX,4/3/2022,W,240,117,43,87,49.4,17,41,41.5,14,18,77.8,12,42,54,33,7,4,18,18,21
PHX,PHX @ OKC,4/3/2022,L,240,96,37,89,41.6,7,38,18.4,15,17,88.2,6,27,33,22,14,4,11,17,-21
CLE,CLE vs. PHI,4/3/2022,L,240,108,35,78,44.9,15,33,45.5,23,31,74.2,7,34,41,24,10,3,12,28,-4
PHI,PHI @ CLE,4/3/2022,W,240,112,33,80,41.3,11,31,35.5,35,42,83.3,12,38,50,23,7,8,14,19,4
GSW,GSW vs. UTA,4/2/2022,W,240,111,40,84,47.6,20,48,41.7,11,12,91.7,6,35,41,30,5,6,11,22,4
UTA,UTA @ GSW,4/2/2022,L,240,107,38,89,42.7,15,46,32.6,16,22,72.7,12,35,47,19,8,2,13,17,-4
MIA,MIA @ CHI,4/2/2022,W,240,127,44,82,53.7,17,34,50,22,27,81.5,5,36,41,28,4,1,9,21,18
CHI,CHI vs. MIA,4/2/2022,L,240,109,37,86,43,9,34,26.5,26,29,89.7,11,28,39,21,5,4,6,19,-18
ATL,ATL vs. BKN,4/2/2022,W,240,122,36,86,41.9,13,41,31.7,37,49,75.5,10,44,54,18,10,4,7,18,7
BKN,BKN @ ATL,4/2/2022,L,240,115,42,99,42.4,17,37,45.9,14,19,73.7,10,42,52,17,5,3,13,29,-7
NYK,NYK vs. CLE,4/2/2022,L,240,101,31,77,40.3,13,30,43.3,26,34,76.5,6,29,35,19,6,4,11,19,-18
CLE,CLE @ NYK,4/2/2022,W,240,119,44,81,54.3,15,34,44.1,16,21,76.2,7,36,43,26,6,3,12,24,18
CHA,CHA @ PHI,4/2/2022,L,240,114,42,87,48.3,11,30,36.7,19,24,79.2,7,25,32,34,14,1,17,18,-30
PHI,PHI vs. CHA,4/2/2022,W,240,144,53,87,60.9,21,43,48.8,17,21,81,10,37,47,38,10,5,19,18,30
NOP,NOP @ LAL,4/1/2022,W,240,114,41,79,51.9,7,26,26.9,25,29,86.2,4,33,37,23,8,4,15,21,3
LAL,LAL vs. NOP,4/1/2022,L,240,111,39,82,47.6,11,27,40.7,22,31,71,7,33,40,24,10,1,17,24,-3
DEN,DEN vs. MIN,4/1/2022,L,240,130,46,86,53.5,12,35,34.3,26,29,89.7,10,34,44,36,7,2,18,23,-6
MIN,MIN @ DEN,4/1/2022,W,240,136,43,86,50,19,40,47.5,31,36,86.1,10,28,38,26,14,4,12,23,6
POR,POR @ SAS,4/1/2022,L,240,111,41,92,44.6,15,35,42.9,14,20,70,12,30,42,27,12,2,12,20,-19
SAS,SAS vs. POR,4/1/2022,W,240,130,46,81,56.8,16,37,43.2,22,28,78.6,8,36,44,34,9,6,15,16,19
PHX,PHX @ MEM,4/1/2022,L,240,114,47,86,54.7,10,27,37,10,17,58.8,2,37,39,27,8,4,20,25,-8
MEM,MEM vs. PHX,4/1/2022,W,240,122,46,102,45.1,7,24,29.2,23,28,82.1,16,32,48,30,7,2,11,18,8
SAC,SAC @ HOU,4/1/2022,W,240,122,42,81,51.9,12,28,42.9,26,34,76.5,8,39,47,29,6,11,13,19,5
HOU,HOU vs. SAC,4/1/2022,L,240,117,41,97,42.3,17,45,37.8,18,26,69.2,15,30,45,26,9,7,11,25,-5
LAC,LAC @ MIL,4/1/2022,W,240,153,56,92,60.9,23,43,53.5,18,24,75,8,28,36,34,9,7,10,17,34
MIL,MIL vs. LAC,4/1/2022,L,240,119,50,94,53.2,8,25,32,11,18,61.1,13,25,38,30,6,5,15,19,-34
TOR,TOR @ ORL,4/1/2022,W,240,102,36,86,41.9,13,42,31,17,20,85,10,31,41,21,13,3,10,14,13
ORL,ORL vs. TOR,4/1/2022,L,240,89,34,79,43,11,35,31.4,10,11,90.9,9,36,45,24,6,4,22,14,-13
OKC,OKC vs. DET,4/1/2022,L,240,101,36,84,42.9,11,34,32.4,18,29,62.1,12,42,54,24,1,8,17,15,-9
DET,DET @ OKC,4/1/2022,W,240,110,40,94,42.6,15,48,31.3,15,18,83.3,8,36,44,29,9,8,8,20,9
BOS,BOS vs. IND,4/1/2022,W,240,128,45,83,54.2,12,33,36.4,26,28,92.9,11,29,40,29,7,4,16,19,5
IND,IND @ BOS,4/1/2022,L,240,123,42,81,51.9,17,36,47.2,22,23,95.7,8,22,30,25,9,3,16,30,-5
DAL,DAL @ WAS,4/1/2022,L,240,103,34,78,43.6,11,38,28.9,24,26,92.3,5,31,36,14,3,3,13,16,-32
WAS,WAS vs. DAL,4/1/2022,W,240,135,49,90,54.4,17,33,51.5,20,22,90.9,8,37,45,33,7,4,9,19,32
CHI,CHI vs. LAC,3/31/2022,W,265,135,50,102,49,10,29,34.5,25,32,78.1,13,37,50,24,6,3,8,17,5
LAC,LAC @ CHI,3/31/2022,L,265,130,45,90,50,16,36,44.4,24,26,92.3,4,36,40,26,7,5,12,24,-5
BKN,BKN vs. MIL,3/31/2022,L,265,119,45,97,46.4,18,37,48.6,11,16,68.8,5,36,41,31,12,7,16,25,-1
MIL,MIL @ BKN,3/31/2022,W,265,120,40,89,44.9,12,41,29.3,28,34,82.4,11,46,57,17,12,3,23,14,1
CLE,CLE @ ATL,3/31/2022,L,240,107,39,90,43.3,7,30,23.3,22,28,78.6,15,32,47,19,6,5,14,20,-24
ATL,ATL vs. CLE,3/31/2022,W,240,131,45,91,49.5,17,39,43.6,24,28,85.7,12,36,48,27,7,4,9,22,24
PHI,PHI @ DET,3/31/2022,L,240,94,31,69,44.9,7,26,26.9,25,28,89.3,4,35,39,22,8,9,15,17,-8
DET,DET vs. PHI,3/31/2022,W,240,102,41,82,50,10,35,28.6,10,15,66.7,5,33,38,26,11,4,10,21,8
UTA,UTA vs. LAL,3/31/2022,W,240,122,46,90,51.1,15,44,34.1,15,24,62.5,9,32,41,25,7,2,8,20,13
LAL,LAL @ UTA,3/31/2022,L,240,109,41,83,49.4,7,25,28,20,28,71.4,9,31,40,18,5,3,11,21,-13
GSW,GSW vs. PHX,3/30/2022,L,240,103,35,83,42.2,13,38,34.2,20,25,80,10,38,48,26,7,4,21,24,-4
PHX,PHX @ GSW,3/30/2022,W,240,107,38,92,41.3,7,28,25,24,30,80,12,34,46,20,9,1,14,19,4
POR,POR vs. NOP,3/30/2022,L,240,107,39,85,45.9,14,42,33.3,15,18,83.3,13,28,41,30,7,4,22,27,-10
NOP,NOP @ POR,3/30/2022,W,240,117,40,78,51.3,6,24,25,31,39,79.5,12,28,40,26,16,6,14,16,10
SAS,SAS vs. MEM,3/30/2022,L,240,111,42,83,50.6,14,35,40,13,16,81.3,7,30,37,26,8,1,15,13,-1
MEM,MEM @ SAS,3/30/2022,W,240,112,44,91,48.4,16,39,41,8,11,72.7,12,28,40,26,8,5,14,15,1
HOU,HOU vs. SAC,3/30/2022,L,240,118,43,94,45.7,13,42,31,19,25,76,12,39,51,23,7,4,18,34,-3
SAC,SAC @ HOU,3/30/2022,W,240,121,44,95,46.3,7,26,26.9,26,36,72.2,13,31,44,21,7,10,9,21,3
BOS,BOS vs. MIA,3/30/2022,L,240,98,35,85,41.2,11,37,29.7,17,23,73.9,8,36,44,27,9,1,18,22,-8
MIA,MIA @ BOS,3/30/2022,W,240,106,38,79,48.1,13,34,38.2,17,25,68,4,38,42,27,9,6,18,23,8
ATL,ATL @ OKC,3/30/2022,W,240,136,49,91,53.8,18,39,46.2,20,22,90.9,6,37,43,28,10,4,13,19,18
OKC,OKC vs. ATL,3/30/2022,L,240,118,41,87,47.1,17,41,41.5,19,27,70.4,10,32,42,31,5,2,18,17,-18
CHA,CHA @ NYK,3/30/2022,W,240,125,49,90,54.4,12,35,34.3,15,17,88.2,8,32,40,39,7,3,12,21,11
NYK,NYK vs. CHA,3/30/2022,L,240,114,40,85,47.1,16,44,36.4,18,26,69.2,11,32,43,23,5,5,14,19,-11
DEN,DEN @ IND,3/30/2022,W,240,125,50,80,62.5,12,28,42.9,13,14,92.9,8,35,43,33,6,4,20,20,7
IND,IND vs. DEN,3/30/2022,L,240,118,44,97,45.4,12,40,30,18,23,78.3,18,19,37,29,11,4,8,21,-7
WAS,WAS vs. ORL,3/30/2022,W,240,127,47,92,51.1,13,36,36.1,20,26,76.9,12,39,51,35,5,8,12,15,17
ORL,ORL @ WAS,3/30/2022,L,240,110,40,96,41.7,11,34,32.4,19,22,86.4,11,31,42,21,8,5,12,23,-17
MIN,MIN @ TOR,3/30/2022,L,240,102,37,92,40.2,11,37,29.7,17,23,73.9,17,31,48,26,11,9,22,19,-23
TOR,TOR vs. MIN,3/30/2022,W,240,125,48,96,50,18,36,50,11,15,73.3,11,36,47,32,9,4,19,23,23
DAL,DAL @ CLE,3/30/2022,W,240,120,46,88,52.3,16,42,38.1,12,15,80,9,29,38,28,6,6,12,17,8
CLE,CLE vs. DAL,3/30/2022,L,240,112,42,83,50.6,11,25,44,17,22,77.3,9,30,39,24,7,3,15,15,-8
UTA,UTA @ LAC,3/29/2022,L,240,115,43,78,55.1,12,31,38.7,17,29,58.6,10,28,38,23,5,5,15,24,-6
LAC,LAC vs. UTA,3/29/2022,W,240,121,41,83,49.4,15,36,41.7,24,28,85.7,10,23,33,21,8,4,11,23,6
BKN,BKN vs. DET,3/29/2022,W,240,130,42,76,55.3,15,28,53.6,31,34,91.2,8,33,41,24,9,6,19,19,7
DET,DET @ BKN,3/29/2022,L,240,123,48,99,48.5,16,38,42.1,11,13,84.6,16,23,39,28,11,4,14,25,-7
DAL,DAL vs. LAL,3/29/2022,W,240,128,45,87,51.7,20,46,43.5,18,23,78.3,11,35,46,27,5,1,8,14,18
LAL,LAL @ DAL,3/29/2022,L,240,110,40,89,44.9,12,44,27.3,18,22,81.8,14,34,48,20,7,2,9,22,-18
PHI,PHI vs. MIL,3/29/2022,L,240,116,43,89,48.3,16,41,39,14,18,77.8,5,35,40,28,7,3,9,19,-2
MIL,MIL @ PHI,3/29/2022,W,240,118,44,88,50,14,38,36.8,16,23,69.6,9,39,48,26,5,4,11,17,2
CHI,CHI @ WAS,3/29/2022,W,240,107,43,85,50.6,6,18,33.3,15,18,83.3,6,30,36,26,9,1,9,14,13
WAS,WAS vs. CHI,3/29/2022,L,240,94,38,79,48.1,6,26,23.1,12,17,70.6,7,30,37,25,6,7,14,17,-13
POR,POR vs. OKC,3/28/2022,L,265,131,51,112,45.5,20,50,40,9,13,69.2,19,28,47,28,17,5,11,23,-3
OKC,OKC @ POR,3/28/2022,W,265,134,48,90,53.3,20,45,44.4,18,25,72,11,38,49,32,7,3,21,15,3
GSW,GSW @ MEM,3/28/2022,L,240,95,33,81,40.7,9,29,31,20,26,76.9,7,33,40,18,6,7,17,27,-28
MEM,MEM vs. GSW,3/28/2022,W,240,123,43,92,46.7,12,30,40,25,35,71.4,13,39,52,26,11,3,14,21,28
HOU,HOU vs. SAS,3/28/2022,L,240,120,38,92,41.3,20,49,40.8,24,28,85.7,10,34,44,26,5,9,12,24,-3
SAS,SAS @ HOU,3/28/2022,W,240,123,47,100,47,7,29,24.1,22,28,78.6,17,39,56,28,11,5,13,20,3
CHI,CHI @ NYK,3/28/2022,L,240,104,34,79,43,6,23,26.1,30,33,90.9,6,41,47,16,6,3,14,24,-5
NYK,NYK vs. CHI,3/28/2022,W,240,109,38,89,42.7,12,35,34.3,21,35,60,13,33,46,19,4,4,6,22,5
SAC,SAC @ MIA,3/28/2022,L,240,100,37,81,45.7,12,35,34.3,14,18,77.8,5,27,32,21,6,2,14,12,-23
MIA,MIA vs. SAC,3/28/2022,W,240,123,49,90,54.4,19,40,47.5,6,6,100,10,38,48,30,7,1,16,20,23
CHA,CHA vs. DEN,3/28/2022,L,240,109,44,93,47.3,13,42,31,8,12,66.7,8,32,40,33,11,3,15,21,-4
DEN,DEN @ CHA,3/28/2022,W,240,113,40,86,46.5,12,33,36.4,21,28,75,17,34,51,29,7,3,16,17,4
ATL,ATL @ IND,3/28/2022,W,240,132,47,86,54.7,17,35,48.6,21,26,80.8,13,27,40,32,11,4,15,19,9
IND,IND vs. ATL,3/28/2022,L,240,123,45,87,51.7,17,36,47.2,16,18,88.9,8,20,28,32,7,6,14,22,-9
ORL,ORL @ CLE,3/28/2022,L,240,101,42,87,48.3,10,37,27,7,13,53.8,8,37,45,31,6,1,17,24,-6
CLE,CLE vs. ORL,3/28/2022,W,240,107,37,83,44.6,13,41,31.7,20,23,87,6,35,41,26,11,4,15,13,6
TOR,TOR vs. BOS,3/28/2022,W,265,115,46,106,43.4,10,39,25.6,13,18,72.2,16,36,52,16,10,11,10,28,3
BOS,BOS @ TOR,3/28/2022,L,265,112,39,95,41.1,12,40,30,22,28,78.6,16,41,57,23,5,7,17,15,-3
CHA,CHA @ BKN,3/27/2022,W,240,119,42,98,42.9,17,32,53.1,18,23,78.3,17,36,53,26,6,2,12,22,9
BKN,BKN vs. CHA,3/27/2022,L,240,110,43,97,44.3,7,34,20.6,17,26,65.4,14,36,50,30,9,11,11,20,-9
DAL,DAL vs. UTA,3/27/2022,W,240,114,40,77,51.9,17,34,50,17,24,70.8,10,35,45,21,3,2,10,13,14
UTA,UTA @ DAL,3/27/2022,L,240,100,41,89,46.1,12,34,35.3,6,10,60,7,29,36,23,5,1,6,20,-14
NOP,NOP vs. LAL,3/27/2022,W,240,116,44,91,48.4,9,27,33.3,19,24,79.2,12,29,41,25,10,1,7,13,8
LAL,LAL @ NOP,3/27/2022,L,240,108,42,80,52.5,14,35,40,10,16,62.5,7,32,39,26,5,2,15,20,-8
PHI,PHI @ PHX,3/27/2022,L,240,104,37,89,41.6,10,36,27.8,20,26,76.9,12,33,45,22,6,4,12,19,-10
PHX,PHX vs. PHI,3/27/2022,W,240,114,45,87,51.7,13,27,48.1,11,17,64.7,5,35,40,24,5,5,13,21,10
BOS,BOS vs. MIN,3/27/2022,W,240,134,49,87,56.3,17,39,43.6,19,21,90.5,10,35,45,27,7,5,13,20,22
MIN,MIN @ BOS,3/27/2022,L,240,112,45,84,53.6,14,32,43.8,8,12,66.7,4,26,30,26,7,3,14,21,-22
NYK,NYK @ DET,3/27/2022,W,240,104,34,85,40,13,41,31.7,23,29,79.3,13,38,51,19,8,8,14,16,2
DET,DET vs. NYK,3/27/2022,L,240,102,39,85,45.9,8,29,27.6,16,18,88.9,9,28,37,23,8,5,10,21,-2
GSW,GSW @ WAS,3/27/2022,L,240,115,38,89,42.7,8,33,24.2,31,39,79.5,13,33,46,20,8,2,10,24,-8
WAS,WAS vs. GSW,3/27/2022,W,240,123,44,84,52.4,16,28,57.1,19,22,86.4,5,37,42,33,5,8,12,24,8
HOU,HOU @ POR,3/26/2022,W,240,115,44,84,52.4,15,35,42.9,12,18,66.7,8,30,38,34,12,8,21,14,17
POR,POR vs. HOU,3/26/2022,L,240,98,37,93,39.8,12,40,30,12,17,70.6,21,30,51,21,14,4,23,19,-17
CLE,CLE vs. CHI,3/26/2022,L,240,94,34,82,41.5,7,31,22.6,19,27,70.4,15,31,46,17,7,3,13,23,-4
CHI,CHI @ CLE,3/26/2022,W,240,98,36,75,48,5,21,23.8,21,25,84,6,31,37,23,6,1,15,21,4
OKC,OKC @ DEN,3/26/2022,L,240,107,39,84,46.4,14,36,38.9,15,16,93.8,5,31,36,29,8,5,17,19,-6
DEN,DEN vs. OKC,3/26/2022,W,240,113,41,85,48.2,8,31,25.8,23,24,95.8,10,37,47,33,11,5,15,19,6
MEM,MEM vs. MIL,3/26/2022,W,240,127,49,102,48,13,37,35.1,16,23,69.6,16,38,54,30,10,9,8,19,25
MIL,MIL @ MEM,3/26/2022,L,240,102,37,93,39.8,7,32,21.9,21,26,80.8,14,32,46,19,4,7,14,21,-25
IND,IND @ TOR,3/26/2022,L,240,91,33,79,41.8,11,36,30.6,14,20,70,9,26,35,23,5,3,14,14,-40
TOR,TOR vs. IND,3/26/2022,W,240,131,51,84,60.7,15,32,46.9,14,19,73.7,9,33,42,34,9,3,6,16,40
ORL,ORL vs. SAC,3/26/2022,L,265,110,45,106,42.5,13,36,36.1,7,7,100,15,42,57,27,9,3,13,20,-4
SAC,SAC @ ORL,3/26/2022,W,265,114,42,98,42.9,11,36,30.6,19,24,79.2,18,41,59,24,4,4,14,12,4
MIA,MIA vs. BKN,3/26/2022,L,240,95,33,75,44,10,34,29.4,19,26,73.1,6,33,39,20,7,5,24,23,-15
BKN,BKN @ MIA,3/26/2022,W,240,110,39,83,47,11,33,33.3,21,26,80.8,11,29,40,26,15,5,17,22,15
SAS,SAS @ NOP,3/26/2022,W,240,107,39,92,42.4,7,26,26.9,22,25,88,16,33,49,22,4,6,10,17,4
NOP,NOP vs. SAS,3/26/2022,L,240,103,40,90,44.4,10,32,31.3,13,19,68.4,12,30,42,23,4,11,8,19,-4
