,Team,MP,Off_FG,Off_FGA,Off_FG%,Off_3P,Off_3PA,Off_3P%,Off_2P,Off_2PA,Off_2P%,Off_FT,Off_FTA,Off_FT%,Off_ORB,Off_DRB,Off_TRB,Off_AST,Off_STL,Off_BLK,Off_TOV,Off_PF,Off_PTS,Def_FG,Def_FGA,Def_FG%,Def_3P,Def_3PA,Def_3P%,Def_2P,Def_2PA,Def_2P%,Def_FT,Def_FTA,Def_FT%,Def_ORB,Def_DRB,Def_TRB,Def_AST,Def_STL,Def_BLK,Def_TOV,Def_PF,Def_PTS,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA
0,Golden State Warriors,240.0,42.1,85.9,0.49,13.8,36.2,0.382,28.3,49.7,0.569,16.1,21.3,0.754,9.9,34.5,44.4,28.1,6.8,5.2,14.8,21.5,114.1,38.5,86.5,0.445,14.5,38.9,0.374,23.9,47.6,0.502,18.2,23.8,0.767,9.8,31.2,41.0,24.2,7.7,4.5,12.8,20.0,109.7,28.1,12,5,0.706,11,6,116.9,112.4,4.5,97.6,0.248,0.421,0.599,0.571,13.4,24.2,0.187,0.529,11.6,77.8,0.211
1,Memphis Grizzlies,240.0,39.8,91.3,0.435,13.1,35.8,0.365,26.7,55.5,0.48,19.9,27.1,0.735,12.4,33.4,45.8,25.2,9.2,6.1,14.0,20.8,112.5,39.1,86.6,0.451,13.7,37.6,0.364,25.4,49.0,0.519,18.3,22.8,0.802,9.6,35.7,45.3,25.0,6.8,6.8,17.9,23.8,110.1,23.9,6,6,0.5,7,5,110.2,107.8,2.4,102.1,0.297,0.392,0.545,0.507,11.9,25.8,0.218,0.53,15.6,77.7,0.211
2,Denver Nuggets,240.0,39.4,82.8,0.476,11.2,31.4,0.357,28.2,51.4,0.549,20.0,25.2,0.794,11.2,30.6,41.8,25.0,7.0,3.4,16.4,25.0,110.0,42.0,81.6,0.515,15.2,36.0,0.422,26.8,45.6,0.588,18.8,26.8,0.701,7.0,28.8,35.8,28.6,9.4,6.2,13.0,23.2,118.0,28.1,1,4,0.2,1,4,113.6,121.8,-8.2,96.9,0.304,0.379,0.586,0.543,14.9,28.0,0.242,0.608,12.2,81.4,0.23
3,New Orleans Pelicans,240.0,39.0,84.3,0.462,9.3,26.3,0.354,29.7,58.0,0.511,22.5,28.8,0.78,15.2,30.5,45.7,21.3,6.3,3.5,14.5,21.2,109.8,43.3,82.8,0.523,8.7,27.2,0.319,34.7,55.7,0.623,16.0,19.8,0.807,7.5,28.2,35.7,26.8,7.8,4.0,11.0,22.7,111.3,25.5,2,4,0.333,3,3,117.6,119.2,-1.6,93.4,0.342,0.312,0.566,0.518,13.0,35.0,0.267,0.575,10.7,80.3,0.193
4,Minnesota Timberwolves,240.0,36.3,82.0,0.443,13.8,35.7,0.388,22.5,46.3,0.486,22.7,28.0,0.81,7.0,33.0,40.0,22.8,8.2,7.8,17.7,26.8,109.2,39.8,87.8,0.454,11.5,31.7,0.363,28.3,56.2,0.504,23.5,32.3,0.727,12.5,33.8,46.3,25.8,8.2,6.2,16.0,23.2,114.7,24.8,2,4,0.333,2,4,106.4,111.8,-5.4,102.6,0.341,0.435,0.579,0.527,15.8,17.1,0.276,0.519,13.6,72.5,0.268
5,Brooklyn Nets,240.0,39.3,78.0,0.503,11.5,27.3,0.422,27.8,50.8,0.547,19.0,25.8,0.738,8.5,25.5,34.0,22.3,8.0,6.5,15.3,24.8,109.0,41.3,84.3,0.49,12.3,34.5,0.355,29.0,49.8,0.583,18.8,22.8,0.824,11.0,28.5,39.5,25.8,8.8,4.0,14.0,24.5,113.5,29.5,0,4,0.0,1,3,116.3,121.1,-4.8,93.8,0.33,0.349,0.61,0.577,14.6,23.0,0.244,0.562,12.9,69.9,0.223
6,Boston Celtics,240.0,37.3,81.7,0.457,13.8,37.3,0.371,23.5,44.4,0.528,19.3,23.8,0.81,8.7,33.9,42.6,24.7,6.5,6.3,13.9,21.7,107.8,37.3,86.0,0.433,10.3,31.6,0.324,27.0,54.4,0.497,16.6,21.5,0.772,10.4,31.9,42.4,20.2,7.5,4.8,13.2,21.7,101.4,26.3,13,6,0.684,13,6,113.1,106.4,6.7,95.3,0.292,0.457,0.584,0.541,13.1,21.4,0.236,0.493,12.1,76.5,0.193
7,Phoenix Suns,240.0,41.2,82.8,0.497,9.8,27.2,0.363,31.3,55.6,0.563,15.5,18.9,0.817,9.5,30.7,40.2,25.7,6.6,3.8,13.3,22.5,107.6,38.2,82.6,0.462,12.7,33.2,0.383,25.5,49.5,0.515,19.6,25.3,0.775,10.9,29.7,40.6,19.3,7.7,3.0,13.0,21.2,108.6,27.8,7,6,0.538,6,7,115.6,116.7,-1.1,93.1,0.229,0.328,0.591,0.557,12.7,24.2,0.187,0.539,12.2,73.8,0.237
8,Dallas Mavericks,240.0,36.3,80.8,0.449,15.8,41.5,0.38,20.5,39.3,0.521,18.0,23.3,0.771,6.5,30.0,36.5,19.2,7.2,2.8,10.2,21.1,106.3,38.9,81.7,0.477,10.2,29.0,0.352,28.7,52.7,0.545,17.5,21.9,0.799,10.2,34.9,45.1,23.5,5.1,3.6,13.4,22.1,105.6,27.1,9,9,0.5,9,9,114.9,114.1,0.8,92.6,0.289,0.513,0.584,0.546,10.1,15.7,0.223,0.539,12.8,74.7,0.214
9,Philadelphia 76ers,242.1,36.4,78.3,0.465,12.4,33.3,0.373,24.0,44.9,0.534,19.3,22.7,0.849,7.7,31.3,39.0,21.8,6.1,4.3,14.8,20.6,104.5,38.5,84.7,0.455,9.7,32.3,0.299,28.8,52.3,0.551,17.5,21.8,0.805,10.0,30.0,40.0,21.1,7.1,4.2,11.7,20.5,104.2,27.4,6,6,0.5,6,6,112.3,112.0,0.3,92.2,0.29,0.426,0.592,0.545,14.3,20.4,0.246,0.512,11.0,75.8,0.207
10,Miami Heat,240.0,38.0,85.3,0.445,10.9,34.8,0.313,27.1,50.6,0.536,17.3,21.6,0.804,9.8,31.2,41.1,21.9,8.3,3.7,12.9,21.4,104.2,34.7,77.8,0.446,11.5,34.0,0.338,23.2,43.8,0.529,19.6,23.9,0.817,8.1,32.3,40.4,20.6,6.2,4.6,15.5,21.4,100.4,28.3,11,7,0.611,11,7,110.6,106.6,4.0,94.2,0.253,0.408,0.55,0.509,12.0,23.3,0.203,0.52,14.9,79.4,0.251
11,Toronto Raptors,244.2,38.3,86.0,0.446,9.8,32.8,0.299,28.5,53.2,0.536,16.7,21.0,0.794,10.0,27.5,37.5,20.7,6.7,4.8,10.0,22.2,103.2,38.2,78.2,0.488,13.7,33.5,0.408,24.5,44.7,0.549,21.5,25.3,0.849,8.3,33.5,41.8,24.0,5.2,4.8,14.5,20.3,111.5,25.3,2,4,0.333,2,4,111.2,120.2,-9.0,91.2,0.244,0.382,0.542,0.503,9.5,23.0,0.194,0.576,14.0,76.7,0.275
12,Milwaukee Bucks,240.0,38.5,88.0,0.438,10.6,32.3,0.327,27.9,55.7,0.501,15.2,20.8,0.731,9.8,40.7,50.4,20.8,6.3,4.5,13.8,19.2,102.8,36.6,86.9,0.421,13.5,39.7,0.34,23.1,47.3,0.489,14.6,18.1,0.806,7.8,35.4,43.3,24.0,6.7,5.5,12.8,20.2,101.3,29.5,7,5,0.583,7,5,104.4,102.8,1.6,98.5,0.236,0.367,0.529,0.498,12.4,21.6,0.172,0.499,11.9,83.8,0.168
13,Utah Jazz,240.0,35.0,79.0,0.443,8.2,29.8,0.274,26.8,49.2,0.546,20.8,26.5,0.786,9.3,35.5,44.8,17.2,4.0,3.7,11.8,22.0,99.0,35.8,80.7,0.444,15.5,41.8,0.371,20.3,38.8,0.524,17.5,22.2,0.789,6.0,31.7,37.7,19.3,6.5,2.3,8.7,23.2,104.7,29.1,2,4,0.333,2,4,108.8,115.0,-6.2,91.0,0.335,0.378,0.546,0.495,11.5,22.8,0.264,0.54,8.7,85.5,0.217
14,Atlanta Hawks,240.0,34.4,78.2,0.44,11.4,35.0,0.326,23.0,43.2,0.532,17.2,22.0,0.782,8.6,30.8,39.4,18.6,5.8,2.4,16.4,21.6,97.4,39.8,85.6,0.465,13.2,38.4,0.344,26.6,47.2,0.564,16.6,21.2,0.783,8.2,31.8,40.0,25.4,9.4,3.0,13.2,23.4,109.4,25.5,1,4,0.2,1,4,102.3,114.9,-12.6,95.2,0.281,0.448,0.554,0.513,15.7,21.3,0.22,0.542,12.2,79.0,0.194
15,Chicago Bulls,240.0,36.4,90.2,0.404,10.4,36.8,0.283,26.0,53.4,0.487,12.0,14.4,0.833,8.2,35.8,44.0,23.0,7.8,3.2,13.0,18.6,95.2,40.6,86.0,0.472,14.0,36.8,0.38,26.6,49.2,0.541,14.6,21.2,0.689,8.2,43.6,51.8,23.4,6.4,4.8,15.4,17.8,109.8,26.4,1,4,0.2,1,4,94.9,109.4,-14.5,100.3,0.16,0.408,0.493,0.461,11.9,15.8,0.133,0.553,13.9,81.4,0.17
